Document Number,Accounting Document Number,Company Code,Invoice Status,Activity,Actual Role,Actual Agent,Start Date & Time,End Date & Time,Work Item ID,Process Type Number,Process Type Text
000009461546,5100202434,2700,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,NEILLEYC,2025-08-27 14:53:08,2025-08-27 14:53:08,000194572897,854,QH - Service Entry Required (PO)
000009461793,5101154686,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CAMPBELLCHER,2025-09-25 11:44:12,2025-09-25 11:44:12,000197510740,854,QH - Service Entry Required (PO)
000009461794,5101154678,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-25 11:39:32,2025-09-25 11:39:32,000197473896,854,QH - Service Entry Required (PO)
000009461795,5101154688,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-25 11:45:05,2025-09-25 11:45:05,000197473895,854,QH - Service Entry Required (PO)
000009461835,5101154710,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-25 11:59:18,2025-09-25 11:59:18,000197473888,854,QH - Service Entry Required (PO)
000009461838,5101154635,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-25 11:11:20,2025-09-25 11:11:20,000197473889,854,QH - Service Entry Required (PO)
000009462833,5100198258,3400,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,BRIGGSI,2025-08-27 14:30:04,2025-08-27 14:30:04,000194646547,854,QH - Service Entry Required (PO)
000009463001,5100091692,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,OLSENBRI,2025-09-08 10:09:31,2025-09-08 10:09:31,000195665679,854,QH - Service Entry Required (PO)
000009468120,5101150979,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-19 12:03:59,2025-09-19 12:03:59,000196981085,813,QH - Manual Check Lines and/or Balance (PO)
000009468120,5101150979,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-19 12:04:28,2025-09-19 12:04:28,000196981085,813,QH - Manual Check Lines and/or Balance (PO)
000009473619,5100347681,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ALLITTT,2025-09-10 08:44:39,2025-09-10 08:44:39,000196005169,854,QH - Service Entry Required (PO)
000009481400,5100092490,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,OLSENBRI,2025-09-25 08:16:08,2025-09-25 08:16:08,000197467868,854,QH - Service Entry Required (PO)
000009499456,5100345995,3000,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDERSONLEN,2025-08-29 13:31:51,2025-08-29 13:31:51,000194915916,854,QH - Service Entry Required (PO)
000009527045,5100348814,3200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KAROLAKP,2025-09-04 15:49:08,2025-09-04 15:49:08,000195562382,854,QH - Service Entry Required (PO)
000009550231,5100255320,2400,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARTHEWN,2025-08-22 12:27:23,2025-08-22 12:27:23,000188266245,804,QH - Invalid Vendor (PO)
000009575484,5101142292,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-09-05 11:34:57,2025-09-05 11:34:57,000195596186,854,QH - Service Entry Required (PO)
000009577213,5100091345,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,WALDONK,2025-09-01 13:38:39,2025-09-01 13:38:39,000195040578,854,QH - Service Entry Required (PO)
000009578880,5101157496,1000,29,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-09-30 12:34:37,2025-09-30 12:34:37,000197927741,838,QH - Missing Mandatory Information (PO)
000009585865,5100631119,2000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MITCHELLBR,2025-09-10 10:36:25,2025-09-10 10:36:25,000196045160,854,QH - Service Entry Required (PO)
000009593756,5100255334,2400,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARTHEWN,2025-08-22 12:41:22,2025-08-22 12:41:22,000194137857,804,QH - Invalid Vendor (PO)
000009597135,5100091466,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,OLSENBRI,2025-09-03 11:26:39,2025-09-03 11:26:39,000195347648,854,QH - Service Entry Required (PO)
000009598216,5101140156,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,WISEMANCH,2025-09-03 09:48:37,2025-09-03 09:48:37,000195331502,813,QH - Manual Check Lines and/or Balance (PO)
000009601052,5100527840,2600,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,NEILLEYC,2025-09-17 14:07:01,2025-09-17 14:07:01,000196738244,854,QH - Service Entry Required (PO)
000009605317,5101131639,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-08-20 08:58:07,2025-08-20 08:58:07,000193964973,813,QH - Manual Check Lines and/or Balance (PO)
000009606473,5101040692,2100,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MITCHELLRD,2025-08-21 07:18:07,2025-08-21 07:18:07,000194029963,813,QH - Manual Check Lines and/or Balance (PO)
000009607494,5100358949,2800,13,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,FERGUSONRE,2025-08-22 14:19:10,2025-08-22 14:19:10,000194286865,854,QH - Service Entry Required (PO)
000009607495,5100358950,2800,13,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,FERGUSONRE,2025-08-22 14:20:10,2025-08-22 14:20:10,000194286866,854,QH - Service Entry Required (PO)
000009607772,5100092533,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,OLSENBRI,2025-09-25 12:20:46,2025-09-25 12:20:46,000197518591,854,QH - Service Entry Required (PO)
000009608757,5100256207,2400,29,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARTHEWN,2025-08-29 12:04:40,2025-08-29 12:04:41,000194936291,838,QH - Missing Mandatory Information (PO)
000009611929,5100090803,2200,11,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARTHEWN,2025-08-21 08:56:44,2025-08-21 08:56:44,000194099368,838,QH - Missing Mandatory Information (PO)
000009619802,5100359292,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-26 06:48:26,2025-08-26 06:48:26,000194433922,854,QH - Service Entry Required (PO)
000009621964,5100523018,2600,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,NEILLEYC,2025-09-01 10:02:10,2025-09-01 10:02:10,000195029189,854,QH - Service Entry Required (PO)
000009630004,5100347225,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDERSENSD,2025-09-08 09:43:49,2025-09-08 09:43:49,000195745382,854,QH - Service Entry Required (PO)
000009634060,5101158149,1000,29,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-10-01 13:09:14,2025-10-01 13:09:14,000198074327,838,QH - Missing Mandatory Information (PO)
000009636958,5101137878,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MAHARAJSA,2025-08-29 12:30:47,2025-08-29 12:30:47,000194941068,854,QH - Service Entry Required (PO)
000009643136,5101135336,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,POOLEDA,2025-08-26 10:50:31,2025-08-26 10:50:31,000194421388,854,QH - Service Entry Required (PO)
000009647002,5100347716,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDERSENSD,2025-09-10 11:17:04,2025-09-10 11:17:04,000195871692,854,QH - Service Entry Required (PO)
000009648190,5101135931,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-08-27 08:09:07,2025-08-27 08:09:07,000194565561,854,QH - Service Entry Required (PO)
000009648634,5100091177,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,OLSENBRI,2025-08-28 12:21:11,2025-08-28 12:21:11,000194803564,854,QH - Service Entry Required (PO)
000009651215,5100054589,2900,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-10-01 07:22:35,2025-10-01 07:22:35,000198001166,854,QH - Service Entry Required (PO)
000009655245,5101138592,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DOBRUCKINISV,2025-09-01 11:02:06,2025-09-01 11:02:06,000195063208,854,QH - Service Entry Required (PO)
000009656127,5100200606,3400,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,BRIGGSI,2025-09-16 09:13:07,2025-09-16 09:13:22,000196457236,863,QH - GR Not Done - Simple Check (PO)
000009657141,5100366620,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CAMPBELLCHER,2025-10-01 10:14:02,2025-10-01 10:14:02,000198032913,854,QH - Service Entry Required (PO)
000009665449,5100362291,2800,13,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,FERGUSONRE,2025-09-10 08:38:35,2025-09-10 08:38:35,000196021669,899,QH - Tolerance exceeded (PO)
000009665992,5100481086,2500,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DALEYDAN,2025-08-26 15:25:19,2025-08-26 15:25:19,000194447108,854,QH - Service Entry Required (PO)
000009667726,5100198434,3400,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,BRIGGSI,2025-08-28 13:49:47,2025-08-28 13:49:47,000194799876,854,QH - Service Entry Required (PO)
000009670986,5100442885,3300,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ESSELINKJ,2025-09-29 15:43:18,2025-09-29 15:43:18,000197804190,854,QH - Service Entry Required (PO)
000009674110,5100359741,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 14:31:44,2025-08-27 14:31:44,000194689469,854,QH - Service Entry Required (PO)
000009674123,5100359651,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 08:56:03,2025-08-27 08:56:03,000194616173,854,QH - Service Entry Required (PO)
000009674124,5100359662,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 08:57:44,2025-08-27 08:57:44,000194616171,854,QH - Service Entry Required (PO)
000009674125,5100359653,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 08:58:45,2025-08-27 08:58:45,000194616174,854,QH - Service Entry Required (PO)
000009674126,5100359654,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 08:59:57,2025-08-27 08:59:57,000194616176,854,QH - Service Entry Required (PO)
000009674127,5100359655,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:01:12,2025-08-27 09:01:12,000194616151,854,QH - Service Entry Required (PO)
000009674128,5100359656,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:02:20,2025-08-27 09:02:20,000194616150,854,QH - Service Entry Required (PO)
000009674129,5100359657,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:03:28,2025-08-27 09:03:28,000194616147,854,QH - Service Entry Required (PO)
000009674130,5100359658,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:04:41,2025-08-27 09:04:41,000194616152,854,QH - Service Entry Required (PO)
000009674131,5100359660,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:08:49,2025-08-27 09:08:49,000194616146,854,QH - Service Entry Required (PO)
000009674132,5100359659,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:05:30,2025-08-27 09:05:30,000194616138,854,QH - Service Entry Required (PO)
000009674133,5100359661,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 09:09:49,2025-08-27 09:09:49,000194616148,854,QH - Service Entry Required (PO)
000009674134,5100359438,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-26 12:50:38,2025-08-26 12:50:38,000194518078,854,QH - Service Entry Required (PO)
000009674135,5100359436,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-26 12:49:41,2025-08-26 12:49:41,000194518088,854,QH - Service Entry Required (PO)
000009674136,5100359435,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-26 12:48:56,2025-08-26 12:48:56,000194518092,854,QH - Service Entry Required (PO)
000009674137,5100360427,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CAMPBELLCHER,2025-09-01 10:50:30,2025-09-01 10:50:30,000195059498,854,QH - Service Entry Required (PO)
000009681838,5100092187,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,SHARPKJU,2025-09-17 12:57:29,2025-09-17 12:57:29,000196508100,854,QH - Service Entry Required (PO)
000009684882,5100438545,3300,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,FAINTSU,2025-09-02 12:53:30,2025-09-02 12:53:30,000195171890,854,QH - Service Entry Required (PO)
000009684887,5100345773,3200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARMILEE,2025-08-19 11:15:39,2025-08-19 11:15:39,000193674195,813,QH - Manual Check Lines and/or Balance (PO)
000009686187,5100442564,3300,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DAMSC,2025-09-26 10:58:35,2025-09-26 10:58:35,000197625918,854,QH - Service Entry Required (PO)
000009686585,5100053917,2900,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JONESROCH,2025-09-12 09:10:34,2025-09-12 09:10:34,000195961119,854,QH - Service Entry Required (PO)
000009689571,5101157571,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MAHARAJSA,2025-09-30 14:38:05,2025-09-30 14:38:05,000197936788,854,QH - Service Entry Required (PO)
000009690268,5100626542,2000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,LEARMONTHK,2025-08-28 10:56:12,2025-08-28 10:56:12,000194777316,854,QH - Service Entry Required (PO)
000009691785,5100527853,2600,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,NEILLEYC,2025-09-17 14:18:41,2025-09-17 14:18:41,000196738243,854,QH - Service Entry Required (PO)
000009693406,5100366113,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,STAEDLERS,2025-09-29 14:37:05,2025-09-29 14:37:05,000197815711,899,QH - Tolerance exceeded (PO)
000009693830,5100360056,2800,13,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,FERGUSONRE,2025-08-29 07:48:47,2025-08-29 07:48:47,000194881625,854,QH - Service Entry Required (PO)
000009695989,5100360754,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KELLYCARA,2025-09-02 11:02:33,2025-09-02 11:02:33,000195183860,854,QH - Service Entry Required (PO)
000009696376,5100360755,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KELLYCARA,2025-09-02 11:03:18,2025-09-02 11:03:18,000195183859,854,QH - Service Entry Required (PO)
000009698142,5100257295,2400,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARTHEWN,2025-09-10 09:14:43,2025-09-10 09:14:43,000196022869,854,QH - Service Entry Required (PO)
000009698539,5100360425,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CAMPBELLCHER,2025-09-01 10:49:47,2025-09-01 10:49:47,000195059495,854,QH - Service Entry Required (PO)
000009700022,5101056272,2100,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MITCHELLRD,2025-09-24 08:27:49,2025-09-24 08:28:00,000197340723,899,QH - Tolerance exceeded (PO)
000009700242,5100344753,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDERSONLEN,2025-08-22 08:49:47,2025-08-22 08:49:47,000194177972,854,QH - Service Entry Required (PO)
000009700252,5100631679,2000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,LEARMONTHK,2025-09-12 12:32:02,2025-09-12 12:32:02,000196219773,854,QH - Service Entry Required (PO)
000009702891,5100437352,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 12:05:20,2025-08-26 12:05:20,000191030163,805,QH - Suspected Duplicate (PO)
000009702893,5100437351,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 12:04:33,2025-08-26 12:04:33,000191030161,805,QH - Suspected Duplicate (PO)
000009702895,5100437350,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 12:02:44,2025-08-26 12:02:44,000191030156,805,QH - Suspected Duplicate (PO)
000009702897,5100437582,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-27 10:16:15,2025-08-27 10:16:15,000191030151,805,QH - Suspected Duplicate (PO)
000009702899,5100437348,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:59:40,2025-08-26 11:59:40,000191030147,805,QH - Suspected Duplicate (PO)
000009702901,5100437347,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:58:38,2025-08-26 11:58:38,000191030141,805,QH - Suspected Duplicate (PO)
000009702903,5100437345,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:57:29,2025-08-26 11:57:29,000191030143,805,QH - Suspected Duplicate (PO)
000009702905,5100437343,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:56:10,2025-08-26 11:56:10,000191030136,805,QH - Suspected Duplicate (PO)
000009702907,5100437341,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:52:07,2025-08-26 11:52:07,000191030131,805,QH - Suspected Duplicate (PO)
000009702909,5100437338,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:50:28,2025-08-26 11:50:28,000191030127,805,QH - Suspected Duplicate (PO)
000009702911,5100437335,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:49:19,2025-08-26 11:49:19,000191030122,805,QH - Suspected Duplicate (PO)
000009702913,5100437334,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:48:22,2025-08-26 11:48:22,000191030121,805,QH - Suspected Duplicate (PO)
000009702915,5100437330,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:47:22,2025-08-26 11:47:22,000191030116,805,QH - Suspected Duplicate (PO)
000009702917,5100437328,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:46:27,2025-08-26 11:46:27,000191030215,805,QH - Suspected Duplicate (PO)
000009702919,5100437326,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:45:24,2025-08-26 11:45:24,000191030212,805,QH - Suspected Duplicate (PO)
000009702921,5100437325,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:44:13,2025-08-26 11:44:13,000191030208,805,QH - Suspected Duplicate (PO)
000009702923,5100437323,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:39:31,2025-08-26 11:39:31,000191030201,805,QH - Suspected Duplicate (PO)
000009702925,5100437321,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:35:56,2025-08-26 11:35:56,000191030203,805,QH - Suspected Duplicate (PO)
000009702927,5100437319,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:34:57,2025-08-26 11:34:57,000191030197,805,QH - Suspected Duplicate (PO)
000009702929,5100437317,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:33:43,2025-08-26 11:33:43,000191030190,805,QH - Suspected Duplicate (PO)
000009702931,5100437581,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-27 10:06:52,2025-08-27 10:06:52,000191030191,805,QH - Suspected Duplicate (PO)
000009702933,5100437314,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:30:00,2025-08-26 11:30:00,000191030184,805,QH - Suspected Duplicate (PO)
000009702934,5100437367,3300,00,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 12:18:16,2025-08-26 12:18:16,000191145272,838,QH - Missing Mandatory Information (PO)
000009702936,5100437306,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:27:56,2025-08-26 11:27:56,000191030185,805,QH - Suspected Duplicate (PO)
000009702939,5100437305,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:26:42,2025-08-26 11:26:42,000191030178,805,QH - Suspected Duplicate (PO)
000009702943,5100437302,3300,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,JELFSC,2025-08-26 11:11:14,2025-08-26 11:11:14,000191030167,805,QH - Suspected Duplicate (PO)
000009707790,5100481084,2500,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DALEYDAN,2025-08-26 15:24:05,2025-08-26 15:24:05,000194447112,854,QH - Service Entry Required (PO)
000009711575,5101134720,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MAHARAJSA,2025-08-25 13:03:11,2025-08-25 13:03:11,000194327906,854,QH - Service Entry Required (PO)
000009711896,5100345905,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDERSENSD,2025-08-26 15:52:37,2025-08-26 15:52:37,000194333349,854,QH - Service Entry Required (PO)
000009711896,5100345905,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,BURRIDGEB,2025-08-29 08:46:59,2025-08-29 08:46:59,000194658815,854,QH - Service Entry Required (PO)
000009712510,5100202642,2700,07,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,MORRSUZA,2025-08-29 10:23:08,2025-08-29 10:23:08,000194414263,805,QH - Suspected Duplicate (PO)
000009712515,5101140578,1000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,ANDREWSJAD,2025-09-03 14:07:58,2025-09-03 14:07:58,000195293257,854,QH - Service Entry Required (PO)
000009713052,5100481082,2500,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,DALEYDAN,2025-08-26 15:23:30,2025-08-26 15:23:30,000194447111,854,QH - Service Entry Required (PO)
000009714479,5100091176,2200,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,OLSENBRI,2025-08-28 12:19:21,2025-08-28 12:19:21,000194803446,854,QH - Service Entry Required (PO)
000009716427,5100257285,2400,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,CARTHEWN,2025-09-10 09:01:20,2025-09-10 09:01:20,000196027388,854,QH - Service Entry Required (PO)
000009716710,5100359740,2800,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,KATURAMUT,2025-08-27 14:30:38,2025-08-27 14:30:38,000194689468,854,QH - Service Entry Required (PO)
000009717972,5100345062,3000,02,Bypassed Rule -QH - Service Entry Requir,AP_PROCESSOR,LUXM,2025-08-25 13:38:31,2025-08-25 13:38:31,000194415464,854,QH - Service Entry Required (PO)
